Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Apr-76,,,,148,2,,,,,398,104,2026,96,,128,,,456,,22,1670,,,,112,,8,,,,,,,,,,,,38,,18,,218,,20,,334,,446,88,,,460,442,12,,,,,,,10,,128,,28,284,30,,,,,,,,,,,,,,,,,
May-76,,,,196,4,,,,,404,132,2228,112,,146,,,498,,22,1962,,,,206,,,,,,,,,,,,,,52,,24,,246,,36,,430,,686,116,,,436,522,10,,,,,,,20,,134,,42,350,28,,,,,,,,,,,,,,,,,
Jun-76,,,,202,10,,,,,362,138,2082,114,,150,,,464,,30,1856,,,,144,,6,,,,,,,,,,,,54,,26,,214,,40,,318,,774,108,,,410,478,18,,,,,,,10,,160,,36,368,22,,,,,,,,,,,,,,,,,
Jul-76,,,,230,8,,,,,400,134,2414,170,,216,,,528,,20,2158,,,,228,,6,,,,,,,,,,,,72,,18,,268,,34,,448,,832,128,,,506,578,8,,,,,,,10,,150,,40,378,24,,,,,,,,,,,,,,,,,
Aug-76,,,,202,14,,,,,416,118,2296,118,,168,,,574,,40,2114,,,,246,,,,,,,,,,,,,,42,,28,,278,,34,,422,,700,132,,,542,530,16,,,,,,,2,,152,,58,340,20,,,,,,,,,,,,,,,,,
Sep-76,,,,208,12,,,,,424,120,2210,156,,140,,,480,,30,1944,,,,188,,4,,,,,,,,,,,,44,,40,,264,,28,,424,,522,108,,,470,526,8,,,,,,,10,,132,,20,344,6,,,,,,,,,,,,,,,,,
Oct-76,,,,230,14,,,,,456,160,2352,172,,180,,,540,,38,1986,,,,144,,6,,,,,,,,,,,,48,,30,,264,,20,,462,,372,110,,,536,594,18,,,,,,,16,,148,,50,408,20,,,,,,,,,,,,,,,,,
Nov-76,,,,184,10,,,,,348,120,2092,100,,130,,,444,,30,1840,,,,122,,4,,,,,,,,,,,,44,,30,,198,,16,,304,,204,88,,,352,482,12,,,,,,,8,,130,,54,316,14,,,,,,,,,,,,,,,,,
Dec-76,,,,194,16,,,,,466,156,2324,134,,166,,,510,,28,1936,,,,114,,6,,,,,,,,,,,,66,,20,,254,,28,,472,,140,112,,,442,588,12,,,,,,,18,,160,,56,404,24,,,,,,,,,,,,,,,,,
Jan-77,,,,150,4,,,12,4,282,132,1526,108,,138,,6,358,,18,1438,10,2,142,104,,4,,158,,108,,,60,10,,14,,34,80,18,,166,,26,,286,,48,44,26,,288,350,12,,,,10,,,8,,146,4,164,304,14,,,,,,,,,,,,,,,,,
