Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Apr-87,,2,4,46,24,2,32,,,352,160,1902,110,4,404,,,428,,12,1518,56,,218,412,,,,210,34,54,2,82,78,112,,78,20,44,126,126,32,260,,6,20,434,2,14,24,78,4,246,408,14,26,12,,116,,,36,76,416,10,138,130,16,,,,,,,,,,,,,,,,,
May-87,,2,6,60,24,2,40,2,2,394,168,2022,148,2,462,2,2,480,,24,1774,82,,234,584,,2,,170,42,46,6,86,82,192,4,132,22,84,118,108,32,260,,12,16,434,2,14,32,76,4,292,494,12,22,10,,200,2,2,50,112,478,10,178,154,32,,,,,,,,,,,,,,,,,
Jun-87,,2,6,74,22,,36,2,14,398,144,2144,132,2,416,2,4,530,,24,1822,102,,266,574,,,,222,14,74,2,98,102,172,,132,16,56,130,146,28,310,,6,16,494,4,4,38,80,2,288,460,22,38,16,,194,2,,80,116,390,6,166,222,26,,,,,,,,,,,,,,,,,
Jul-87,,2,,78,14,,26,4,14,402,140,2090,138,4,406,,6,576,,10,1932,94,,310,612,,,,232,18,58,2,116,82,210,,150,50,58,106,136,40,260,,16,24,522,,18,40,52,4,240,480,14,44,12,,230,2,,64,138,510,14,158,186,44,,,,,,,,,,,,,,,,,
Aug-87,,4,2,66,22,,42,2,8,422,150,2456,130,,536,4,,534,,12,2168,118,,350,596,,,,226,32,78,14,120,114,186,,140,32,78,132,136,28,280,,12,22,566,4,18,22,104,6,282,528,22,40,14,,202,,,78,130,486,14,158,200,52,,,,,,,,,,,,,,,,,
Sep-87,,6,,56,20,2,48,,16,416,132,2204,150,2,448,,6,490,,10,1912,114,,282,514,,4,,270,34,64,2,100,108,138,,110,22,60,142,124,26,274,,12,16,466,6,6,26,84,6,272,404,10,30,10,,158,,,72,104,506,14,126,182,24,,,,,,,,,,,,,,,,,
Oct-87,,2,,80,34,2,38,4,4,486,172,2390,156,,442,,4,602,,12,2120,98,,288,484,,,,284,22,72,6,86,68,90,2,94,40,90,150,132,20,246,,20,20,556,,12,24,90,,282,536,16,62,20,,136,2,2,76,76,514,10,134,204,36,,,,,,,,,,,,,,,,,
Nov-87,,,4,52,14,,46,,2,440,160,2266,146,,442,2,2,492,,12,1988,108,,266,350,,2,,232,32,36,,88,86,56,2,56,30,58,108,146,48,252,,8,14,474,,4,16,46,6,326,512,22,34,14,,60,,4,90,58,458,6,164,190,32,,,,,,,,,,,,,,,,,
Dec-87,,2,4,48,14,,28,4,4,438,152,2168,160,,430,,4,560,,16,1960,118,2,284,338,,,,212,38,62,8,112,116,50,,22,28,72,100,122,28,320,,4,20,478,2,2,18,98,4,312,480,28,26,16,,52,,,64,28,496,4,148,194,26,,,,,,,,,,,,,,,,,
Jan-88,,,,52,22,,28,,4,298,126,1728,128,,402,,2,430,,4,1544,88,,216,214,,,,182,24,36,6,104,84,50,,30,38,48,80,126,36,266,,2,30,418,,,32,80,4,232,374,14,22,8,,50,,,76,32,386,2,108,136,20,,,,,,,,,,,,,,,,,
Feb-88,,4,,50,22,,34,,,310,124,1664,124,,346,,,368,,2,1378,112,,266,274,,2,,194,18,46,,54,68,48,,52,28,60,108,102,22,230,,4,24,382,,4,12,76,,204,336,10,20,16,,62,,,46,32,410,2,72,128,30,,,,,,,,,,,,,,,,,
Mar-88,,2,,52,16,2,42,4,,350,130,1804,140,2,394,,2,434,,6,1740,130,2,258,348,,,,214,42,38,8,86,64,80,2,62,54,48,112,108,34,212,,8,32,436,,6,16,66,,238,378,22,36,10,,90,,,38,66,432,8,96,148,38,,,,,,,,,,,,,,,,,
Apr-88,,6,,54,26,,38,2,8,350,112,2012,116,4,406,,,472,,4,1734,102,,250,428,,2,,208,26,40,12,94,84,110,2,72,56,42,118,162,36,226,,8,20,462,,6,22,70,4,258,438,8,30,6,,118,,,78,74,420,20,90,150,24,,,,,,,,,,,,,,,,,
May-88,,2,2,44,18,,38,,4,400,132,2022,124,2,474,,2,500,,6,1928,98,,256,510,,2,,204,30,54,4,92,108,158,,106,68,64,132,140,28,256,,2,26,520,,6,24,80,6,266,422,18,24,2,,172,2,,48,120,488,6,96,156,40,,,,,,,,,,,,,,,,,
Jun-88,,2,,64,10,2,48,2,6,362,136,2178,142,2,438,,6,556,,12,1984,102,,302,542,,,,256,30,44,2,90,106,164,,144,50,76,130,148,38,248,,12,12,512,,8,36,88,6,278,452,10,36,18,,162,2,,64,130,472,16,116,168,36,,,,,,,,,,,,,,,,,
Jul-88,,,2,56,12,2,40,,8,418,130,2294,128,4,454,,,588,,,2058,102,,308,524,,2,,242,34,58,4,130,74,146,,204,58,82,138,134,48,274,,8,52,506,2,10,42,64,8,278,476,12,32,10,,168,,2,74,162,494,8,140,180,38,,,,,,,,,,,,,,,,,
Aug-88,,2,2,50,20,,52,,2,430,130,2318,154,2,474,,4,574,,6,1950,130,,324,600,,,,230,48,54,2,108,80,166,,134,68,66,142,120,42,328,,12,18,542,,12,38,102,,210,492,12,28,8,,196,,,82,124,572,14,150,156,42,,,,,,,,,,,,,,,,,
Sep-88,,2,4,56,26,,34,2,2,394,140,2338,168,2,496,,,554,,14,2002,80,,328,506,,,,220,30,40,4,108,94,142,,126,54,62,144,96,18,268,,4,20,516,,6,32,90,2,268,484,12,16,12,,118,,,68,102,478,6,124,152,22,,,,,,,,,,,,,,,,,
Oct-88,,4,2,58,26,2,34,,8,414,152,2242,178,4,482,,4,530,,12,2176,116,,322,436,,,,260,42,44,,90,112,110,,92,74,92,124,136,42,276,,10,32,594,2,10,32,84,2,272,532,22,34,8,,106,,,82,70,518,18,134,172,22,,,,,,,,,,,,,,,,,
Nov-88,,4,,52,20,,40,4,2,418,142,2198,132,,544,,,478,,4,1918,114,2,262,342,,2,,192,48,56,8,96,114,48,,54,62,60,70,134,44,278,,6,34,476,2,2,18,84,10,274,460,20,16,16,,58,,,80,60,482,2,130,148,34,,,,,,,,,,,,,,,,,
Dec-88,,4,2,70,24,,50,,6,442,154,2278,168,,482,,2,594,,10,1984,130,,316,308,,,,274,36,56,8,124,96,56,,50,60,82,118,174,44,320,,6,24,608,2,6,12,76,2,298,492,20,34,6,,46,,,80,40,578,,138,162,34,,,,,,,,,,,,,,,,,
Jan-89,,,,38,28,,26,2,6,396,124,1754,146,,472,,,438,4,6,1622,86,,226,288,,,,170,28,28,6,72,76,40,,22,54,74,104,122,18,200,,,38,424,,6,24,90,6,270,424,8,28,10,,46,,,76,42,432,8,106,136,40,,,,,,,,,,,,,,,,,
Feb-89,,,2,34,12,2,20,,2,336,128,1618,116,,356,,,450,2,6,1444,114,,232,238,,2,,152,20,32,6,74,70,32,,22,62,54,100,120,32,206,,2,26,346,,,10,62,,206,362,10,26,10,,42,,,34,32,428,2,72,102,24,,,,,,,,,,,,,,,,,
Mar-89,,,2,50,10,,28,2,,374,136,1870,148,,446,,,536,,2,1640,90,,242,358,,2,,210,30,52,4,92,108,58,,58,46,64,118,152,24,254,,6,26,414,2,8,16,62,,234,406,12,32,6,,74,,,54,50,490,6,90,136,24,,,,,,,,,,,,,,,,,
Apr-89,,4,4,42,8,,40,2,4,344,128,1848,124,,472,2,,508,2,2,1784,106,,246,402,,,,174,36,52,,90,64,136,,62,60,54,108,130,22,204,,4,42,454,4,2,18,86,4,242,424,10,30,8,,72,,,70,66,444,4,92,142,22,,,,,,,,,,,,,,,,,
May-89,,,,42,8,,50,2,4,386,116,2014,138,,386,,2,506,,8,1824,86,,252,490,,,,194,42,48,2,68,108,130,,134,60,60,112,94,16,222,,,26,510,,12,26,64,4,256,426,20,20,12,,126,,2,52,88,530,4,124,138,34,,,,,,,,,,,,,,,,,
Jun-89,,,,48,10,2,40,,4,384,138,2010,102,,418,,,528,8,6,1844,104,2,264,446,,,,232,40,46,8,106,80,142,,104,92,62,126,132,28,238,,10,36,476,2,6,30,94,2,244,412,12,22,8,,138,2,,72,106,488,8,116,144,22,,,,,,,,,,,,,,,,,
Jul-89,,,2,52,18,,48,,8,374,140,2158,134,2,432,,2,552,4,12,1914,134,,314,576,,,,256,32,46,4,114,96,136,,136,94,80,112,126,34,252,,6,40,528,,4,42,74,10,228,508,10,30,10,,174,,,72,126,514,8,120,144,36,,,,,,,,,,,,,,,,,
Aug-89,,2,2,38,8,,26,4,2,374,118,2150,146,,474,,2,534,10,10,1946,122,,284,500,,,,230,26,56,2,112,96,162,,142,62,56,156,140,36,246,,6,26,466,,6,46,110,6,250,426,10,28,8,,168,2,,92,116,538,4,148,150,38,,,,,,,,,,,,,,,,,
Sep-89,,6,,52,12,,46,,4,414,132,2240,156,4,456,,,536,4,10,1976,108,,298,464,,,,206,50,56,,96,112,94,,104,48,62,122,134,28,266,,10,22,464,,6,18,78,4,250,476,10,26,4,,110,,,84,114,522,,100,130,32,,,,,,,,,,,,,,,,,
Oct-89,,,2,62,24,,18,2,4,426,156,2202,126,,464,,,532,4,2,1964,122,,296,416,,2,,230,56,60,6,104,94,108,,124,60,76,140,132,44,256,,,46,552,2,6,36,90,6,254,504,12,32,16,,128,,2,92,74,542,6,114,158,28,,,,,,,,,,,,,,,,,
Nov-89,,,2,52,18,,34,2,2,388,144,1920,108,4,398,,2,550,8,8,1858,152,,270,346,,,,230,36,56,4,82,78,52,,20,68,48,104,130,18,250,,6,32,496,,,26,82,6,222,434,6,14,16,,42,,,84,48,498,,126,150,30,,,,,,,,,,,,,,,,,
Dec-89,,2,2,72,10,,44,2,,406,144,2118,140,,466,,,558,8,10,2074,116,,268,360,,,,234,58,64,8,126,76,34,,12,58,50,102,160,34,318,,2,52,646,,6,24,86,6,260,562,14,28,22,,40,,,98,24,542,2,142,134,30,,,,,,,,,,,,,,,,,
Jan-90,,4,2,42,24,,26,2,2,358,112,1762,112,,344,,2,442,10,4,1666,100,2,188,248,,,,190,62,42,4,88,94,36,,14,66,50,98,160,30,218,,4,34,394,,2,10,86,,216,412,,24,6,,20,,,66,40,490,2,110,108,32,,,,,,,,,,,,,,,,,
Feb-90,,,4,32,14,,24,2,,302,114,1480,108,,348,,2,444,2,2,1436,88,,222,250,,2,,188,36,24,,92,84,22,,56,70,48,88,106,22,222,,,18,406,,2,10,58,,196,366,8,16,14,,42,2,,76,40,384,2,98,104,38,,,,,,,,,,,,,,,,,
Mar-90,,6,,40,18,,26,,,336,128,1876,100,,392,,2,438,2,4,1704,128,,276,368,,2,,202,34,48,10,78,82,72,,66,62,76,114,98,28,214,,2,36,488,2,,24,62,,220,412,12,20,4,,84,2,,72,36,502,2,88,150,18,,,,,,,,,,,,,,,,,
Apr-90,,4,,44,14,,20,2,6,322,130,1808,88,,430,,2,458,8,4,1648,116,,246,408,,,,192,58,38,2,72,72,66,,98,56,68,92,134,24,254,,6,36,486,,2,16,76,4,224,404,16,14,8,,94,,,68,90,422,4,74,148,16,,,,,,,,,,,,,,,,,
May-90,,2,4,38,16,,54,,,398,152,1942,130,,410,,,460,10,10,1812,140,2,248,428,,,,180,30,42,10,94,114,144,,120,56,50,98,154,30,282,,2,40,512,6,6,26,68,4,248,390,6,28,10,,98,,2,60,96,472,8,94,136,22,2,,,,,,,,,,,,,,,,
Jun-90,,,4,48,14,,34,,2,374,154,2034,166,,422,,4,490,6,6,1840,118,2,248,530,,,,236,36,40,8,90,90,144,,142,78,68,132,152,30,238,,4,40,538,,8,22,82,12,238,446,14,24,12,,208,,,60,110,544,14,78,132,42,,,,,,,,,,,,,,,,,
Jul-90,,4,2,28,26,,66,,2,344,160,2302,148,,438,2,,522,8,4,2056,114,2,304,574,,2,,206,50,42,6,112,78,164,,160,88,60,92,138,36,250,,8,50,454,2,6,28,56,4,250,462,10,32,10,,186,,,54,148,588,10,94,126,22,,,,,,,,,,,,,,,,,
Aug-90,,2,4,50,20,2,34,,4,408,124,2164,116,4,446,,6,502,6,2,1964,144,,308,544,,,,212,46,44,8,112,96,178,,156,62,68,130,176,26,272,,4,40,460,,4,30,98,4,248,432,4,30,16,,156,,2,76,126,532,12,118,130,34,,,,,,,,,,,,,,,,,
Sep-90,,,,42,14,,40,,2,414,120,1926,126,,504,2,,522,14,4,1836,86,,298,514,,,,212,40,42,6,110,92,100,,140,62,86,92,148,28,270,,6,50,536,,4,30,76,2,232,432,18,28,16,,130,,,94,106,470,12,132,104,34,2,,,,,,,,,,,,,,,,
Oct-90,,,,48,24,,34,,4,366,118,1924,148,4,424,,,484,4,,1892,138,2,262,390,,,,212,44,28,,116,76,92,,104,82,80,126,144,32,232,,2,34,482,2,4,42,84,8,198,422,18,12,10,,70,8,2,70,98,608,2,116,112,32,,,,,,,,,,,,,,,,,
Nov-90,,,4,38,20,,42,,4,382,108,1858,126,,388,,2,474,6,2,1772,106,2,228,372,,2,,196,52,52,2,108,98,68,,100,78,64,90,98,32,196,,4,60,452,,2,34,98,2,282,456,16,18,8,,62,,2,70,52,484,2,104,140,30,,,,,,,,,,,,,,,,,
Dec-90,,,4,38,14,,48,,4,368,156,1858,118,,390,,,496,8,,1760,92,,224,330,,2,,190,32,32,14,116,72,34,,32,54,70,114,136,32,232,,,26,526,2,,20,88,6,270,448,6,12,8,,32,,,66,34,576,4,90,144,32,,,,,,,,,,,,,,,,,
Jan-91,30,4,,22,8,,28,,,274,118,804,116,,216,4,,176,6,2,650,,,2,152,50,,,,10,,4,,,,,,2,40,,74,22,170,4,,18,374,,,,,8,164,320,8,10,14,,,,6,44,,228,2,26,82,16,,,,,,6,20,16,,,,,22,,,,8
Feb-91,8,,,22,8,,36,,,302,106,822,102,,234,,,174,6,2,674,,,4,138,36,,,,4,,10,,,,,,2,50,,72,26,164,4,2,20,340,4,2,,,6,114,344,6,10,8,,,,2,54,2,266,,26,90,14,2,,,,,6,28,28,,,,,10,,,,18
Mar-91,28,,,34,18,,24,,,346,116,956,110,,340,,,226,14,,732,,,2,180,62,,2,,12,,2,,,,,,,56,,92,30,216,4,8,16,388,,2,,,4,186,352,6,18,4,,,,2,50,2,326,2,22,88,44,6,,2,,,14,48,30,,,,,26,2,,,16
Apr-91,16,,,36,8,,24,,,278,96,1002,114,,192,2,,228,14,2,690,,,,186,60,,,,6,,2,,,,,,,70,,70,18,202,2,6,24,338,,2,,,6,166,330,2,16,8,,,,,72,8,264,,24,102,26,4,,,,,22,98,52,,,,,32,,,,22
May-91,20,,,30,10,,32,,,374,130,998,90,,262,2,,224,10,2,894,,,2,224,68,,2,,8,,,,,,,,4,58,,92,16,242,2,2,26,408,2,6,2,,2,202,406,10,20,10,,,,,38,2,354,4,18,120,14,4,,2,,,54,156,82,,2,4,,56,2,,,70
Jun-91,20,,,32,26,,30,,,380,102,1114,126,,280,2,,236,16,4,844,,,2,232,66,,,,14,,4,,,,,,2,60,,112,18,224,2,2,30,460,,2,,,8,162,396,10,34,12,2,,,,62,2,274,4,40,90,24,,,,2,,48,180,76,,,4,,66,,2,,66
Jul-91,10,6,,40,20,,34,,,382,132,1032,118,,344,2,,234,8,2,808,,,,210,60,,2,,24,,6,,,,,,2,64,,126,22,240,2,2,34,422,4,6,2,,4,140,382,16,22,14,,,,,78,4,322,,22,116,28,4,,2,,,60,172,100,2,,,,54,,,,120
Aug-91,22,2,,30,14,,24,,,358,148,1146,126,,318,4,,248,10,2,870,,,6,238,60,,,,10,,6,,,,,,4,86,,112,26,254,4,4,42,448,,4,,,2,204,422,16,18,12,,,,,74,2,356,2,24,118,36,12,,4,,,80,162,94,,,,,82,2,,,90
Sep-91,24,2,,26,8,2,30,,,398,114,1078,120,,256,2,,210,10,4,806,,,6,202,48,,2,,14,,4,,,,,,2,54,,102,28,208,2,6,40,436,,2,,,2,206,404,4,22,18,6,,,2,68,4,284,,34,80,28,2,,8,,,60,132,52,,,,,60,,2,,72
Oct-91,14,,,30,4,,34,,,376,128,1144,106,,232,6,,242,10,2,852,,,6,232,54,,2,,22,,2,,,,,,2,110,,102,14,214,2,2,32,368,,2,,,4,222,342,8,12,12,4,,,2,68,2,310,,12,104,32,20,,2,,,52,88,64,,,,,38,,,,40
Nov-91,22,,,26,32,,30,,,400,114,1008,132,,312,2,,264,10,,822,,,,246,60,,2,,10,,10,,,,,,2,88,,94,26,258,,2,38,386,,,,,2,156,452,2,24,4,2,,,,62,2,348,,30,112,30,8,,,,,12,52,34,,,,,28,2,2,,32
Dec-91,24,,,24,24,,28,,,318,102,938,128,,270,4,,246,10,,886,,,4,224,48,2,8,,12,,,,,,,,2,98,,76,24,238,4,4,24,402,2,,,,2,170,404,6,14,6,,,,,66,,276,,44,80,20,6,,2,,,22,34,14,,,,,14,,,,20
Jan-92,10,,,34,10,,24,,,300,106,844,90,,232,4,,192,12,2,670,,,6,176,28,,,,10,,2,,,,,,8,56,,106,34,206,2,,20,366,,,,,6,124,320,8,14,10,4,,,,70,8,268,,20,76,14,4,,,,,20,34,22,,,,,22,,,,18
Feb-92,18,,,24,14,,34,,,308,100,826,94,,230,2,,184,6,,606,,,2,194,40,,,,12,,2,,,,,,4,56,,96,12,182,2,,24,362,,4,,,4,122,290,4,14,6,4,,,,48,,226,,22,74,26,2,,4,,,24,22,26,,,,,20,,,,26
Mar-92,20,,,18,12,,12,,,262,108,926,100,,230,2,,190,10,2,676,,,2,198,44,2,,,8,,2,,,,,,2,50,,84,38,188,2,,20,296,2,2,,,2,166,344,2,16,8,,,,,42,2,226,,8,68,22,6,,,,2,36,64,30,,,,,36,,,,40
Apr-92,20,2,,24,8,2,22,,,296,116,800,108,,240,,,174,16,2,664,,,,180,46,,,,10,,,,,,,,4,52,,66,16,188,2,,30,378,,,2,,,148,344,6,8,12,4,,,,58,,232,,12,72,18,6,,4,,,38,102,44,,,,,46,,,,78
May-92,20,,,26,22,,36,,,292,154,1040,108,,244,4,,216,6,,694,,,2,216,58,,,,8,,12,,,,,,4,72,,78,24,234,4,,32,426,,2,,,2,172,386,10,20,10,4,,,2,50,4,302,2,28,100,20,12,,2,,,118,132,72,2,,,,62,,,,96
Jun-92,32,,,36,14,,40,,,368,144,996,102,,284,4,,212,6,2,790,,,8,204,54,,,,18,,4,,,,,,8,64,,82,8,198,6,,28,430,,,,,6,140,378,6,8,8,12,,,2,76,2,310,4,24,90,14,6,,6,,2,100,186,86,,,,,56,,,,68
Jul-92,24,,,22,8,,26,,,244,150,946,130,,274,2,,238,14,4,814,,,6,182,68,,4,,12,,2,,,,,,2,84,,100,20,240,,,26,444,,4,,,2,158,360,6,12,6,2,,,2,60,,302,2,16,82,28,,,,,,72,122,86,2,,,,48,2,,,78
Aug-92,32,2,,22,18,,28,,,358,152,1052,106,,278,4,,202,12,,868,,,,216,58,,4,,14,,8,,,,,,6,70,,118,36,234,,2,30,402,2,2,,,,154,398,6,10,8,2,,,2,70,4,296,,30,110,32,4,,6,,,108,154,92,,,,,54,2,,,82
Sep-92,14,2,,20,10,,24,,,328,104,936,124,,256,2,,186,2,,708,,,2,192,48,,4,,6,,4,,,,,,4,60,,70,30,222,,4,16,358,,2,,,,162,328,10,14,4,6,,,2,52,2,248,2,36,72,26,2,,6,,,78,120,70,,,,,48,,2,,62
Oct-92,26,,,28,8,,26,,,394,150,1110,90,,292,4,,250,10,2,848,,,2,274,52,,2,,14,,4,,,,,,2,66,,138,22,230,2,,36,476,,2,,,4,188,418,12,18,12,12,,,4,64,6,346,,18,102,20,4,,,,,68,78,60,,,4,,32,,2,,62
Nov-92,26,,,22,8,,16,,,390,118,936,116,,288,,,226,10,2,730,,,,254,50,,2,,12,,10,,,,,,4,72,,98,16,228,,,40,454,,,2,,2,172,392,10,22,4,2,,,2,58,2,314,,28,66,28,6,,,,,30,70,32,,,,,26,,6,,28
Dec-92,28,,,22,14,,42,,,358,106,948,132,,282,6,,218,16,,824,,,4,268,74,,8,,10,,6,,,,,,2,70,,94,22,214,2,4,30,426,,2,2,,,192,404,6,12,6,18,,,,86,6,314,,28,106,16,6,,,,,16,26,18,,,,,16,,6,,14
Jan-93,26,,,20,16,,40,,,292,116,844,94,,216,4,,176,2,8,642,,,4,192,40,,2,,16,,4,,,,,,4,68,,72,16,202,6,2,10,352,,4,,,4,128,336,12,10,6,8,,,,44,2,254,,12,82,20,2,,,,,24,46,24,,,,,14,,2,,24
Feb-93,10,,,16,6,,18,,,232,100,780,112,,224,2,,192,2,,590,,,4,194,36,2,8,,,,4,,,,,,4,60,,78,22,214,,,32,342,,2,,,6,144,274,6,18,4,6,,,,50,2,252,,14,74,8,4,,,,,30,36,28,,,,,22,,,,26
Mar-93,20,4,,20,14,,28,,,336,98,832,76,,242,8,,196,12,2,640,,,2,198,50,,6,,2,,,,,,,,2,66,,88,22,200,,4,38,394,,4,,,2,156,356,12,4,4,12,,,4,48,4,254,,22,60,32,4,,2,,,62,56,46,,,4,,36,,,,28
Apr-93,12,,,26,16,,24,,,320,104,856,90,,238,,,172,12,4,674,,,2,176,48,,,,12,,2,,,,,,4,68,,100,26,192,10,2,32,378,,,2,,,154,348,2,6,10,,,,4,48,,282,,20,82,18,2,,2,,,88,148,86,2,,2,,52,,2,,48
May-93,14,2,,16,12,,32,,,362,140,966,136,,266,,,236,16,2,720,,,10,218,72,,,,10,,,2,,,,,4,68,,80,34,206,4,,54,388,,,2,,,164,404,8,26,10,8,,,,46,10,312,2,26,72,24,4,,2,,,146,170,96,,2,2,,96,,2,,90
Jun-93,22,2,,10,12,,54,,,316,144,876,94,,276,2,,192,16,2,708,,,4,232,56,,6,,18,,2,,,,,,6,72,,98,32,210,2,2,26,392,,2,,,,132,382,14,10,6,10,,,,42,,348,,24,60,30,2,,12,2,,126,156,94,,,8,,72,,4,,86
Jul-93,28,,,18,10,,30,,,360,132,1020,128,,310,2,,192,10,,834,,,4,274,58,,6,,10,,6,,,,,,8,80,,96,24,260,4,2,30,446,,6,4,,2,172,418,4,18,12,20,,,2,68,2,286,,8,64,20,6,,6,,,180,202,130,,,14,,84,4,10,,106
Aug-93,28,,,14,8,,28,,,336,148,1086,132,,244,,,246,28,4,736,,,4,252,60,,,,8,,2,,,,,,8,92,,88,22,210,2,,26,448,2,,,,2,164,382,12,24,14,10,,,4,60,,356,,24,78,16,4,,8,,,154,218,118,,,2,,96,2,4,,124
Sep-93,18,,,16,10,,30,,,326,132,954,100,,230,2,,224,10,4,756,,,2,238,64,,6,,10,,4,,,,,,6,82,,98,20,220,2,,54,402,4,,,,4,176,366,14,14,4,10,,,,56,6,306,2,26,94,18,2,,8,,4,144,174,88,,2,12,,100,,2,,82
Oct-93,18,2,,22,22,,36,,,422,132,1088,134,,282,2,,276,18,,926,,,6,266,60,,14,,16,,10,,,,,,14,110,,110,38,234,4,2,40,466,,2,,,10,172,430,8,12,6,14,,,2,64,2,358,,28,86,24,6,,8,,,84,110,66,,2,8,,52,,8,,80
Nov-93,38,,,28,20,,44,,,362,132,868,136,,242,4,,216,10,4,808,,,,272,74,,4,,16,,,,,,,,4,82,,94,16,210,,,46,498,,,,,2,154,380,6,16,12,22,,,,78,4,280,,28,64,30,4,,2,,,44,54,46,,,2,,24,,2,,38
Dec-93,26,,,14,12,,30,,,356,116,1002,122,,236,,,208,6,,850,,,8,218,62,,2,,8,,,,,,,,6,72,,100,22,256,2,,42,390,,,,,2,170,394,12,8,12,22,,,2,64,2,346,,30,78,24,6,,,,,16,38,18,,,2,,38,,,,18
Jan-94,20,,,18,6,,26,,,270,122,760,80,,210,6,,186,14,2,694,,,,194,44,,,,6,,4,,,,,,6,44,,86,18,182,4,4,38,320,,,,,2,96,304,14,12,16,12,,,2,68,,256,,18,60,40,,,,,,22,52,18,,,,,14,,4,,22
Feb-94,20,,,12,6,,22,,,262,90,652,78,,214,2,,148,14,,594,,,,212,48,,,,10,,2,,,,,,4,44,,80,26,174,,,36,304,,2,,,2,122,286,6,8,10,8,,,,36,4,272,,22,68,22,4,,4,,,24,50,22,,,4,,28,,2,,22
Mar-94,14,2,,14,12,,34,,,314,96,870,96,,188,2,,218,16,2,688,,,2,232,66,,6,,16,,6,,,,,,6,60,,90,10,206,,4,40,382,,4,,,,130,320,14,8,22,8,,,,42,6,254,,18,60,20,4,,2,,,70,84,56,,,6,,42,,4,,24
Apr-94,26,,,10,10,,20,,,330,106,916,114,,230,2,,200,12,2,730,,,2,240,70,,4,,10,,,,,,,,4,60,,80,28,224,2,2,54,338,,,6,,,122,388,6,14,14,12,,,,56,,288,,22,60,20,4,,2,,,86,130,54,,,,,70,4,6,,64
May-94,32,,,14,14,,34,,,338,142,850,124,,262,2,,186,14,2,816,,,,234,62,,6,,12,,6,,,,,,8,92,,98,28,218,2,4,36,400,,,4,,2,168,376,8,8,2,32,,,2,40,4,308,,20,52,16,,,2,,2,112,150,112,,,6,,98,,4,,92
Jun-94,30,,,10,16,,32,,,316,110,846,96,,248,4,,200,12,2,750,,,2,284,62,,6,,4,,4,,,,,,4,70,,94,16,208,,2,30,384,,4,,,,120,360,10,14,6,18,,,,96,,306,2,28,78,20,2,,4,,,116,182,88,2,,,,86,,2,,68
Jul-94,32,,,14,22,,32,,,328,138,950,112,,264,,,222,20,2,760,,,2,256,70,,6,,4,,6,,,,,,12,70,,160,28,252,2,4,48,378,,,2,,2,148,386,4,14,4,14,,,2,66,2,360,,22,82,24,10,,16,,4,146,190,120,,,6,,114,,6,,98
Aug-94,36,,,10,4,,34,,,320,144,892,116,,300,2,,208,18,,836,,,,272,84,,6,,14,,12,,,,,,10,92,,126,16,218,,2,56,388,,2,4,,,174,452,4,4,16,16,,,4,66,8,382,,28,86,16,6,,10,,,116,190,102,,,8,,68,,8,,86
Sep-94,38,,,16,4,,34,,,300,98,958,124,,278,6,,212,26,4,760,,,2,290,64,,2,,18,,10,,,,,,10,60,,110,14,174,2,4,60,424,,,,,,158,372,2,8,14,22,,,2,58,6,320,,46,76,20,2,,14,,,118,160,60,,,12,,56,2,2,,80
Oct-94,30,,,24,16,,32,,,346,132,1034,122,,270,,,226,18,,844,,,,292,64,,6,,10,,,,,,,,4,72,,132,34,270,,,56,456,,4,2,,,152,474,12,6,4,22,,,,42,4,340,2,16,86,30,6,,6,,,108,114,70,2,2,6,,62,2,4,,64
Nov-94,22,,,14,10,,20,,,308,120,894,116,,216,,,236,30,,898,,,2,288,70,,2,,8,,8,,,,,,2,102,,136,20,240,,,38,414,,,2,,,192,364,12,10,14,24,,,4,82,2,328,2,14,74,22,4,,2,,,44,46,34,,,4,,26,,2,,28
Dec-94,38,2,,22,16,,40,,,380,124,1054,118,,284,2,,228,16,,862,,,6,308,82,,12,,26,,2,,,,,,2,98,,108,22,278,6,,62,480,,2,,,4,160,402,6,20,10,24,,,,66,8,346,,12,84,26,2,,2,,,32,50,28,,,2,,14,,2,,14
