"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"University of Mary Washington",148065,,,,12965,,,145181,,142861,,,,140716,488417,184029,,31837,,417539,195254,,260867,145912,119662,,215161,401075,130382,,67413,,396938,169482,,305244,222230,166253,,156134,365996,125646,,56428,,313184,165324,,278388,205213,141625,,168577,407013,136659,,31810,,321690,181030,,248001,209467,154094,,173456,382266,126824,,,,288458,152582,,236199,155877,132503,,158178,321072,116693,,,,244124,136598,,232359,208853,125038,,126964,273232,86119,,,,214293,120950,,174841,170150,99489,,138415,234085,86699,,,,195636,110305,,180715,151390,77496,,123470,190394,69206,,,,175623,90779,,162506,151023,76279,,134205,204730,88672,,,,194919,87312,,170110,154050,68245,,140651,197932,74815,,,,200059,93097,,163346,145715,73181,
"DePauw University",147807,538119,84042,502729,134216,,256093,197219,,145038,220049,112172,,146588,601417,117477,640051,140476,,369500,174038,154559,149037,280117,175602,,196373,638598,144361,683986,169293,,328988,197078,161289,176376,357169,155862,,181966,622881,130811,703856,175217,,310923,201889,306983,169129,364358,129997,,189445,603023,124355,704479,157732,,297641,189749,300518,167267,297412,131500,,195860,504739,103908,716923,151795,,246856,158201,287462,159437,305159,129750,,119787,441134,93279,603134,143576,,197341,137836,256128,147588,270542,102262,,101893,392401,96248,585124,117395,,173511,105966,205572,132581,234479,83049,,128939,467365,121269,579611,120321,,228689,113059,203095,132601,263059,107578,,119441,432703,109408,557904,115132,,198727,123545,215221,146847,266521,95316,,99641,383071,84947,431413,107152,,185178,123528,183357,112926,234700,91276,,84830,403040,82433,369746,109258,,176153,122192,164606,112352,248628,86959,
"Sussex County Community College",147575,,,,,,197899,67173,,,,,,146185,169071,,,,,293190,74532,,,,,,90214,143970,,,,,155742,68920,,,,,,55875,80074,,,,,137810,39178,,,,,,98031,73985,,,,,109324,30088,,,,,,71558,50648,,,,,51981,20910,,,,,,73113,25083,,,,,47589,20331,,,,,,82863,57993,,,,,43881,20575,,,,,,72415,56976,,,,,56539,24882,,,,,,70619,53297,,,,,48586,20741,,,,,,90188,62855,,,,,60497,39020,,,,,,92195,65185,,,,,58594,34155,,,,,
"Big Bend Community College",147305,94107,,,,,,79990,,,,46799,87992,90266,129761,,,,,,73857,,,,66566,98690,123200,149876,,,,,,108635,,,,80845,96290,112757,158710,,,,,,86623,,,,58275,,118357,140075,,,,,,66509,,,,64290,,116360,129489,,,,,,61819,,,,53620,,111474,139305,,,,,,80738,,,,58157,,105341,146715,,,,,,80904,,,,60465,,108720,138069,,,,,,80286,,,,56405,,115024,130448,,,,,,74564,,,,55447,,161153,119792,,,,,,67324,,,,59239,,127176,113129,,,,,,51339,,,,47069,
"Bob Jones University",146965,213155,,,116338,,300928,,,,,96127,,,301609,,,131232,,259612,,,,90826,129988,,,268962,,,113787,,220185,,,,,110197,,,237843,,,97374,,213020,,,,82616,100786,,,396366,,,89642,,301151,,,,,123954,,,294196,,,72343,,220009,,,,78956,,,,328820,,,64818,,184957,,,,,,,,333823,,,69804,,240972,,,,,,,,256184,,,,,261811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois Wesleyan University",146778,335649,,389852,115125,,193787,135433,138605,37857,195779,222682,,147033,382753,,457557,107509,,235266,111745,150548,52716,202568,125261,,156647,332844,,434374,113351,,226502,157736,152008,55828,234808,158922,,154921,341928,,451012,109131,,237842,155291,154292,55273,243206,152974,,138623,322655,,379453,90216,,236325,151579,152643,48771,251378,139460,,130068,291632,,375908,102229,,197950,115361,114323,35930,266572,121116,,130893,301325,,373748,83519,,212679,89208,102933,33496,253917,102858,,131551,284975,,360012,80499,,191215,92585,124116,31364,216865,96098,,121757,285475,,348932,87869,,184719,55616,87827,34282,197940,103232,,114895,296053,,305402,74228,,149576,39526,87160,28062,178930,85461,,99095,262329,,303391,74278,,146757,35492,92832,37818,171907,88097,,140420,246691,,265211,69419,,148380,54422,88457,23055,183009,79027,
"Parkland College",146602,198227,,,64747,,150826,118203,,,,103794,,167956,212640,,,65450,,167159,94746,,,,162471,,174652,206995,,,75030,,164503,116194,,,,193939,,201405,204809,,,84736,,161711,103494,,,,167369,,217246,267784,,,93205,,210645,116970,,,,198474,,191800,247415,,,78510,,187594,104915,,,,206170,,173699,253725,,,79991,,179758,107854,,,,164327,,163320,231244,,,72858,,154486,102270,,,,162467,,162801,230532,,,68442,,159507,111981,,,,153079,,156540,221040,,,54180,,137560,119450,,,,146520,,158411,247785,,,57398,,127791,116265,,,,135707,,152392,222170,,,61505,,138569,114539,,,,118885,
"Treasure Valley Community College",146464,123013,,,,,175101,87886,,58027,,47569,,157931,143987,,,,,157834,89724,,61348,,106935,,159688,173299,,,,,160741,97399,,78674,,82427,,169039,176794,,,,,127301,108980,,65519,,79590,,233979,182118,,,,,158644,109106,,64524,,73297,,246050,182719,,,,,190261,109559,,65287,,86937,,252533,177816,,,,,184840,101420,,69303,,93024,,295111,180085,,,,,140970,112614,,62884,,54229,,190082,153328,,,,,156013,104621,,46581,,84755,,207901,164120,,,,,140856,79807,,53785,,63499,,221560,146836,,,61314,,160188,80047,,56933,,80756,,281696,194082,,,67808,,154769,87895,,56799,,79257,
"Iowa Wesleyan University",146391,170250,,247690,22826,,134074,95488,,,,61915,175138,170248,215748,,239834,19915,,157076,121530,,,,66565,,134048,200753,,202810,29754,,141623,78321,,,,56009,,132838,169917,,190179,25768,,116127,60390,,,,44915,,118702,172426,,235068,25469,,104963,69384,,,,35329,,120273,179364,,205037,21312,,109453,70927,,,,45941,,104681,175137,,199883,20159,,109171,61790,,,,33991,,124284,192296,,372802,56503,,106945,94239,,,129113,46061,,261254,271621,,659559,66322,,195191,179983,,,135414,52963,,481968,432852,,1000004,106221,,407685,269140,,,,87347,,293945,375547,,530028,64739,,310699,162008,,,135817,84304,,347171,373496,,688042,72293,,309138,159727,,,163144,98430,
"Grinnell College",145590,,,,120052,,,95227,,64331,,,,155223,269560,,372562,124869,,208555,111295,324901,122199,,131001,,203034,263957,,332888,148430,,192207,147873,325986,151518,,122868,,205592,316096,,295901,181915,,208163,146350,306412,140614,,85771,,234970,287858,,269786,182215,,182350,116610,300229,135877,,80685,,161582,237102,,226499,142924,,151637,73730,242817,154850,,75219,,117523,213289,,215679,131573,,138899,67602,201158,154204,,96157,,118281,191589,,191553,116653,,125167,67022,194806,134698,,66191,,113224,176357,,195034,111343,,148438,53006,215422,126296,,55575,,117511,174454,,185006,113180,,146422,50252,208251,131986,,60136,,100104,153830,,179693,103382,,119798,53742,170016,120814,,75237,,101648,158321,,164049,105550,,143712,55561,170231,109211,,54222,
"St Charles Community College",144700,,,,,,155338,119721,,,,,,163296,,,,,,162465,147317,,,,,,142296,,,,,,154132,62361,,,,,,116099,,,,,,159451,98085,,,,,,103061,,,,,,157842,101425,,,,,,130133,,,,,,168417,81576,,,,,,115292,,,,,,185505,92083,,,,,,144028,,,,,,173983,74114,,,,,,126598,,,,,,106472,72896,,,,,,136916,,,,,,97448,112967,,,,,,142973,,,,,,91590,98673,,,,,,158200,,,,,,89636,94689,,,,,
"Bethel University",144009,262434,,391168,80070,274421,159010,107753,,77192,,115797,,142935,308012,,505300,70785,405719,182148,107714,,109638,,117220,,161940,308169,,505199,72397,403190,185089,106623,,113520,,116080,,157552,337426,,507588,70567,397914,242793,98108,,118101,,118615,,159970,332342,,533588,68889,298421,178671,86552,,93990,,102622,,136467,268669,,457904,58512,279549,137847,74712,,76725,,91067,,115325,196879,,429088,61579,262585,140098,65389,,76720,,83490,,156166,202520,,431131,62196,380459,138941,95783,,86538,,79144,,129684,171600,,335082,62787,367629,137503,97394,,77722,,79617,,110223,163830,,388077,59738,368057,132770,93339,,69794,231968,82237,,115339,187963,,372725,65937,373380,114387,96601,,49373,181372,69523,,104966,170328,,326881,67769,374154,110973,87200,,52582,175830,55931,
"Rust College",143325,263976,,,,,,69061,,,,80720,,42884,200270,,,,,,19560,,,,15700,,173321,314112,,,,,,142964,,49965,,136616,,125684,271465,,,,,,115087,,49409,,113237,,147868,302064,,,,,,111676,,51111,,120829,,136604,278371,,,,,,127158,,156103,,248561,,126307,289379,,,,,,118459,,152618,,244983,,122287,271977,,,,,,122842,,145139,,238211,,132161,272257,,,,,,111771,,222751,,257800,,119575,255484,,,,,,110136,,167427,,246634,,116346,257383,,,,,,111752,,175719,,234162,,111355,264454,,,,,89259,104032,,175725,,86675,
"Defiance College",143100,247136,,580925,75283,,90603,129819,,,,80993,86630,155547,323053,,672743,70869,,183301,114097,,24282,,97170,107223,219747,329138,,465192,134962,,224803,125259,,52333,,97188,113828,196034,281729,,358165,135258,,236597,125858,,52408,,98932,,216175,278518,,330618,62124,,194877,155420,,41741,,79651,,240873,220912,,345842,39007,,166029,169559,,62938,,72212,,244880,238231,,383912,44540,,158363,154039,,49757,,84380,,190174,265073,,385091,47409,,143467,133463,48202,49612,,79203,,176096,247650,,383574,35718,,114828,122007,,33737,,69415,,182974,236913,,365985,42736,,111209,128215,52791,26375,,82198,,182241,264646,,337323,32782,,110677,118773,,21352,,98816,,128429,203365,,288155,34229,,88901,98876,,21381,,73685,
"Nebraska Wesleyan University",141568,217100,,241809,77616,,87627,83287,,32273,241843,60505,57534,97188,347731,,318718,47636,,138108,64257,,45042,198987,147230,83930,144428,249256,,314954,75278,,114404,91033,,69523,242401,114744,83801,119396,253564,,270986,66356,,149360,80918,,68050,226177,131720,86369,134041,249502,,270541,74011,,103690,97370,,51283,279595,130252,79996,131636,244301,,243994,62736,,111167,61098,,38284,203214,126776,,81661,192009,,220130,53239,,81839,54593,,44205,231931,132798,,85409,193400,,201063,43402,,103484,44472,,41491,205056,109167,,82565,204635,,183465,58017,,87841,47979,,54370,188897,94375,,78100,220550,,186636,47138,,76641,48368,,40790,213799,73784,,79071,201307,,164081,42606,,67177,49777,,49768,197289,66611,,57778,129781,,161945,45927,,68820,48970,,40243,190340,68950,
"Monroe Community College",141490,,,,,,248620,88564,,,,,,182782,192889,,,,,395108,111888,56225,,,35102,,225875,374812,,,,,381425,73067,72174,,,28228,,225225,336276,,,,,330844,113522,77544,,,44386,,196339,366417,,,,,434093,73956,,,,32268,,250678,452362,,,25080,,417501,52276,170331,,,60421,,184689,324632,,,19029,,394584,62303,150242,,,30762,,205493,357884,,,25355,121330,437740,125208,197024,,,36116,,246737,398017,,,33502,134969,424360,101979,167752,,,31878,,135824,344904,,,19598,110798,307602,53764,118598,,,33546,,239563,387517,,,27376,101110,376381,92287,,,,32184,,185617,421493,,,22721,99309,296255,89645,157788,,,30190,
"Milwaukee School of Engineering",140690,122174,,,30146,233310,178783,74141,,40407,,64264,36275,124090,186375,,,28337,172926,160794,78409,,40534,143511,81709,52934,141652,145629,,,44250,230310,140662,60678,,48407,135831,77035,54369,163143,161980,,,34350,197404,175653,47964,,38355,187915,87633,68377,155958,139777,,,49730,110107,120621,49796,,44018,100853,82482,55843,105610,110136,,,35527,95306,98617,42165,,42368,99876,83091,51579,135422,145728,,,50521,96105,122981,49152,,57078,103188,73996,64565,74531,114867,,,49730,122031,99220,47287,,41258,103872,55764,48338,83891,101856,,,45399,112205,98990,31110,,37036,92554,78804,35969,77200,127728,,,54522,105280,92594,30155,,42826,109933,92759,47786,77545,103849,,,53182,104712,78258,29317,,37995,115223,94950,46109,74981,129436,,,53538,97875,109060,26609,,22962,82339,81284,45852
"Mt San Antonio College",140601,,,,62500,,,121322,,38055,,,,137178,218442,,368448,119484,,269925,121996,250090,,,75099,159613,134830,201540,,369810,128667,,246679,134421,231921,52216,,73644,149729,205899,183318,,307426,85171,,238282,119912,234357,50230,,103170,137171,158466,195483,,280071,85881,,241986,117564,200724,44601,,101536,121438,100547,171101,,242518,37224,,197235,105057,154752,50144,,56274,84070,88093,165287,,234588,31297,,206328,101279,162296,42393,,51454,73359,78972,175112,,234194,30513,,200680,91707,161216,44223,,63139,68870,89144,134665,,206846,28120,,169266,71733,66631,40066,,57807,62088,95046,125133,,222674,33176,,197196,109458,127403,41599,,66545,62845,94589,133655,,197527,34893,,180263,109074,128334,43137,,63465,78726,97199,141810,,204955,66170,,169519,116639,130065,38925,,59596,75042
"Hamilton College",140554,,,,109722,,,142980,,140891,,,,184560,463566,178039,717879,124934,494220,453551,155494,251058,162425,,157054,,235603,471509,169178,705470,151844,470625,455300,167736,272730,164803,,144059,,189166,398444,159245,708194,132361,446435,435148,168747,223617,112706,,152099,,166141,406348,170426,702629,228370,452809,429971,160440,219258,110913,,148134,,179787,393663,202982,579177,243328,409942,423603,160423,225707,97899,,126441,,166932,351961,138203,628119,201203,400640,387737,146533,222447,98745,,122494,,150976,320535,119734,492392,178553,377847,355453,136547,204344,98327,,112304,,145432,312838,111485,373078,182693,358429,309986,134890,196714,123150,,102296,,105871,238360,120301,411396,59771,324966,290972,129888,195407,114039,,90518,,96736,212026,67480,277233,53536,256205,196562,91860,153911,56788,,67006,,73376,201768,52163,296095,48850,248485,184446,60396,99802,109425,,62003,
"Bellevue College",140477,104702,,,66399,,105135,67376,,37136,,58674,,212064,144003,,,51865,,106161,62364,,38929,,53513,,211594,122600,,,71997,,77555,97839,,47261,,47922,,216427,136141,,,43343,,83252,92606,,47959,,56885,,188192,185093,,,37554,,81406,95655,,39544,,55089,,158280,212783,,,53138,,81888,111984,,27888,,65283,,159033,207523,,,61532,,83179,97402,,25937,,59435,,159838,211684,,,42513,,85039,100166,,23442,,63015,,144236,182943,,,46384,,79565,83308,,15497,,48492,,162966,171249,,,52085,,83648,95727,,17517,,50799,,175374,192569,,,43269,,71186,73599,,18645,,58641,,154184,182309,,,46832,,69028,77156,,12918,,63970,
"Calvin University",140241,252904,,,160405,88516,202459,115709,214040,95091,292677,143621,,174880,323747,,,179273,128244,261035,118728,255714,117354,250311,168252,,144961,312460,,,184085,134716,255039,119395,241545,166291,340001,159659,,139176,285982,,,197603,122935,215277,125273,281202,172183,292316,150114,,112151,271585,,,156033,,192821,96453,233927,157919,323646,142015,,107387,251736,,,117372,,184054,72893,162758,112114,281798,149642,,110584,260229,,,115414,,128497,65338,137858,101869,270510,141143,,104273,268343,,,118076,,127476,65612,127399,91770,243896,115715,,90691,235014,,,79504,,121282,75219,118978,94673,221108,101225,,83069,221612,,,72186,,121533,68291,115946,91880,200685,100933,,91485,228258,,,67654,,108896,59694,,82777,206469,99495,,74493,204759,,,56758,,98807,60275,94267,82762,220707,92869,
"Oberlin College",139669,,,,,,,96648,,61411,,,,134858,274350,92313,339470,,,283035,105175,141382,136287,,122295,,194514,268921,95013,356959,,,311128,108747,185671,158619,,117376,,193975,355256,95413,378787,,,280380,114447,191191,177681,342640,115475,,236579,329769,87605,378193,,,283950,124808,168249,194714,344958,110787,,223279,396166,117197,416711,,,343549,112823,,193590,400146,141941,,23081,370352,119646,342773,,,394274,101879,,200657,329482,127594,,152855,194029,80351,267476,,,186459,63299,,94399,441299,60037,,142490,190653,67677,288783,9321,,170492,56495,160034,99950,467802,57237,,125838,176520,67569,267376,9772,,172014,62527,159572,96272,383145,52517,,129521,171231,72916,237310,20025,,189119,53729,97210,93238,234399,62895,,104208,188231,73231,229999,26350,,162925,60043,128975,74870,272057,62055,
"Garrett College",139238,205214,,,953,,,,,,,,128642,92179,172333,,,1674,,,,,,,29040,62845,97830,148519,,,6238,,,19237,,,,27859,99489,161641,134048,,,8678,,,32560,,,,32574,,167093,201132,,,394,,,19417,,,,27037,,174322,202539,,,,,,18838,,,,27138,,177605,212910,,,11852,,,14005,,,,24237,,143394,220506,,,15064,,,13997,,,,16864,,117834,166361,,,7492,,,26924,,,,21965,,161762,240377,,,14858,,,29624,,,,28018,,114914,115772,,,9629,,,12767,,,,28341,,87473,137020,,,6988,,,12625,,,,30832,
"Ohio Wesleyan University",138195,308404,118918,478094,65497,,234242,124150,161308,54330,252078,138207,115550,137174,330502,133176,518703,216538,,289026,140715,165369,95601,258818,178248,67191,167531,369931,135519,544319,199932,,308654,138243,161499,105841,330411,158594,74713,158346,377816,127833,582873,216671,,322343,141107,132605,97658,251805,156997,,161677,347705,123547,534297,180545,,288633,124442,129005,92955,132740,150810,,122953,248145,99016,465345,154825,,259927,97881,119053,100374,239953,88803,,99734,238674,99426,424144,143170,,264535,107003,126699,124976,,89055,,158531,308551,124169,573139,221190,,328292,122516,205380,140575,381747,118330,,96985,251378,67507,409299,119821,,284210,96566,173161,41856,351762,68264,,133885,301513,96587,286741,134034,,329219,82448,173031,43902,301401,54208,,101498,292317,69387,262258,91895,,233127,85610,157342,38779,279370,98281,,103760,285239,75178,265678,73048,,236682,98109,142336,37145,197476,99231,
"Fayetteville Technical Community College",137069,87236,,,,,,71688,,,,42949,,138040,75826,,,,,,55564,,,,34701,,78221,69419,,,,,,50682,,,,32463,,,79933,,,37721,,,,,,,,,,93646,,,29533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of Puget Sound",137022,257103,,369289,65744,,185577,113001,,65723,123530,116394,,126963,347639,,436397,71622,,236186,124024,,61229,111613,145190,,180635,431649,,487051,92959,,242180,122263,,77584,163439,147720,,154601,343972,,479019,80647,,217794,119898,,63067,180176,148591,,164902,348204,,461698,96001,,262342,127563,,68814,159052,155367,,335673,311706,,417023,80521,,249801,128717,,76400,171774,137993,,161007,356785,,442753,74107,,234303,147834,,75577,156549,144874,,161180,320021,,430875,63145,,227270,115952,,49455,138513,131630,,127419,261774,,432703,51337,,222199,116608,,65705,139544,135013,,145443,277473,,398866,54084,,191163,125434,,57493,143878,119391,,106900,260949,,353240,56696,,194308,101769,,55654,126371,122803,,124872,276378,,325783,52215,,199411,101765,,50293,133778,112819,
"Saint Louis Community College",136668,191811,,,,,158636,137673,,,,64972,,157988,215091,,,,,214806,115964,,,,89318,,145456,252295,,,,,223812,147287,,,,65060,,136656,226221,,,,,235481,104200,,,,65142,,140250,230605,,,,,191972,100102,,,,72365,,132200,211650,,,,,199600,92000,,,,81900,,105238,231512,,,,,178560,95505,,,,,,136134,227121,,,,,214367,83121,,,,70823,,148284,200289,,,,,204645,86983,,,,71415,,164493,259406,,,,,225038,119903,,,,84747,,,97897,,,,,72178,41618,,,,,,101504,161420,,,,,157260,71972,,,,,
"Salve Regina University",136545,,,,,,,86823,,14557,,,,135639,209905,85642,281591,,367278,140551,69195,,25117,,48219,,116348,191838,77336,287077,,315573,141182,81531,,36811,,44509,,150463,205985,86233,297882,,311965,170463,89444,,63950,,49951,,141661,203495,93475,366635,,289339,169976,101404,,41835,,42508,,68916,167263,70297,273860,,239190,114316,80804,,48899,,32995,,68916,167263,70297,273860,,239190,114316,80804,,48899,,32995,,102807,148921,47273,223318,,228898,106091,59395,,64390,,40074,,128789,138698,48910,218264,,221272,118196,86047,,86762,,38580,,98097,153366,41384,220671,,196402,111989,69042,,70860,,30846,,50515,142486,35277,222992,,172767,105551,42199,,82166,,25305,,51456,100920,42341,152327,,165507,82054,49833,,59422,,30386,
"St Lawrence University",135772,172800,,,103766,3853832,,94007,,100954,,,,129054,261548,153672,535723,130936,4283110,276717,101307,169878,107485,,104836,,143396,280591,166825,541823,143552,4129694,290963,92694,154894,129311,,104059,,117204,286556,148918,528956,113185,3869581,265444,95860,,58407,,96221,,115317,272824,151033,534513,126340,3748034,257388,87570,,123712,,90764,,126529,247654,186638,371803,120030,3642603,272214,85480,,122418,,97570,,141105,245985,149887,453591,118516,3454246,302205,97502,,133692,,94453,,98638,227291,129130,349928,108060,3234862,257761,88510,,120593,,78683,,112175,215660,125174,361376,101694,3071264,233311,93884,168250,105078,,85009,,121357,224485,89788,390354,105640,3008121,214056,97831,,103496,,86206,,90043,162566,67134,321783,82296,2779495,161032,64700,112378,85744,,59665,,133224,184453,80701,430659,86544,2763772,180556,57471,126610,98044,,79572,
"Bluffton University",135670,246891,,563079,119371,,224696,116737,,,178040,93655,,81304,207595,,443461,83402,,159611,73390,,,177112,82792,,107571,221289,,460418,83598,,164369,88070,,,148179,83589,,149847,237534,,460441,74196,,183125,98550,,,175437,100532,,133809,236918,,429146,,,197668,99285,,,190995,103853,,79134,193061,,388451,,,147331,64883,,,180057,78557,,94943,173649,,379722,,,134644,75264,,,166085,66450,,91515,161359,,411246,,,97040,66909,,,164120,64435,,77009,159310,,399686,,,99365,66257,,23282,118073,63557,,83654,160845,,389971,,,108911,68053,,26415,88455,67765,,83751,172355,,364926,,,105150,64730,,,73501,71357,,80907,155351,,323614,,,106913,65182,,,73218,65831,
"North Central Missouri College",134938,184308,,,77384,,,113034,,,,,,137641,213285,,,133121,,,107609,,,,,,178820,207154,,,136935,,,135737,,,,,,146190,209346,,,83726,,,131428,,,,,,143213,205690,,,37339,,,130360,,,,,,151597,254431,,,,,,127244,,,,,,157222,246774,,,,,,124149,,,,,,143995,227376,,,,,,113071,,,,,,121290,189106,,,,,,97892,,,,,,130575,201005,,,,,,110007,,,,,,95171,162630,,,,,,84906,,,,,,87841,195301,,,,,,93725,,,,,
"Kansas State University",134901,6785479,,31355306,32207,,34703,,,24330,128953,36536,,20189,10079052,,45030255,6251,,33061,,,4763,32345,53345,,153738,11074704,,46167900,21082,,51727,,,16062,87006,77911,,161087,9432794,,41333499,20509,,39163,,,15626,134547,85548,,183367,9648397,,40887031,34225,,75278,,,26076,124208,122802,,175358,9754944,,38447972,17173,,,,,13144,95401,72352,,194003,9161530,,34725916,15576,,,,,11524,71222,75622,,243324,8729537,,32729335,45277,,,,,29157,176215,91492,,253081,8930934,,30976071,18818,,,,,11385,53819,81479,,121348,9407790,,26242319,9285,,,,,7075,32061,53473,,132619,7880603,,19731620,6576,,,,,5010,4000,57092,,133828,7686196,,17570624,8197,,,,,3045,28624,47102,
"Columbia Basin College",134483,151129,,,67061,,173582,94552,,,,84280,,90392,171387,,,61005,,204581,80410,,,,101391,,132887,143029,,,69128,,153317,78365,,,,68143,,110272,123261,,,65092,,139072,74159,,,,59011,,107586,145501,,,61015,,135188,70088,,,,79616,,94154,145957,,,57964,,147014,80636,,,,69195,,89950,132001,,,56348,,144516,76159,,,,79553,,115020,157776,,,41107,,181267,82836,,,,88501,,91911,127240,,,46144,,163634,93116,,,,67626,,108587,138144,,,32683,,143812,73349,,,,63999,,130348,137601,,,18488,,147389,72989,,,,63069,,98604,127358,,,23465,,139101,74051,,,,68580,
"SUNY College of Technology at Alfred",134367,228624,,,,,83503,43531,103293,,121575,,,172769,312653,,451765,,,204127,111724,144552,,147603,130197,117633,172014,320343,,454123,,,199477,129937,174184,,159270,131813,84467,111385,194031,,321350,,,149240,72208,124598,,172475,76343,85050,88164,223684,,281946,,,133915,61996,110164,,142741,93911,80007,129146,203197,,300445,,,145731,88737,,,,75248,85029,129705,181691,,339394,,,113059,118021,,,,67744,64162,116810,200521,,274206,,,131033,92026,,,,76182,62004,99856,173155,,209890,,,67273,51870,,,,65804,40971,81199,162441,,218551,,,71852,47358,,,,55696,30582,101771,154089,,231658,,,70618,41762,24478,,,56348,24882,122079,143710,,194242,,,72830,41456,,,,48220,34980
"Glendale Community College",134258,,,,14266,,57203,130590,,30725,,,,110895,200245,,,15500,,49024,79586,,23869,,102426,,48042,190945,,254341,15048,,51586,41448,,26459,,95859,,36579,163189,,261657,20140,,63247,30297,,23431,,89385,,75495,205194,,311102,20006,,50925,32330,,23480,,92079,,66163,195086,,302010,18053,,60422,67084,,36986,,102980,,79842,203350,,305207,15414,,66778,65039,,32748,,120123,,65355,206047,,285290,17335,,65627,52538,,22106,,91132,,75809,201316,,288051,14843,,70060,111046,,21081,,94952,,85590,185763,,303332,24515,,84945,128080,,35427,,104720,,52802,145002,,250887,18531,,58787,98028,,23703,,92302,,53504,131561,,252502,13153,,55708,86584,,23987,,93791,
"California Lutheran University",134090,199158,,417026,110222,,202412,69076,,112112,,232810,,223054,386626,,560017,213437,,350972,117951,,184375,,453040,,214172,468148,,572673,192824,,401192,110008,133280,156497,,433066,,219755,362685,,551535,179287,,412107,81582,154927,121203,249242,377337,,301139,302127,,504106,183239,,278423,74333,172521,115519,,387603,,265107,282005,,507910,185557,,331254,74256,156926,103195,,373382,,199286,328648,,495140,214894,,300612,76960,119754,109361,,215655,,213662,312748,,472649,180296,,267933,72135,275899,94492,,188446,,197357,278602,,454713,166960,,252447,75995,140135,91643,255384,134009,,179676,272421,,447777,190496,,187397,67440,136917,86109,,198363,,127592,270201,,393071,77431,,173592,61492,116050,59030,164202,156134,,115214,314901,,405420,65467,,167664,65968,137831,65111,,154329,
"Arcadia University",133922,179208,95648,,73913,,171203,100134,,70259,,150993,,111651,221275,119680,,67467,,254830,81207,,71422,126607,178873,,130798,237145,114095,,72277,,235222,102647,,79164,,150112,,136843,230274,109112,,71582,,258391,104638,,81975,,125708,,146651,234022,110871,,67860,,270430,117865,,74944,,117398,,162852,250333,111563,,67372,,279537,133584,,90028,,62007,,129357,230373,88711,,20169,,243397,106261,,79029,,84403,,130008,197793,62450,,39419,,205752,116113,,30351,,26711,,119586,177976,54680,,13941,,196126,103359,,26405,,29579,,121524,174542,56591,,10749,,186706,131020,,25014,,21783,,113090,149718,48687,,21966,,167662,126114,,19190,,19720,,100804,93505,23932,,22575,,117055,64744,,21522,,25109,
"Central College",133795,231458,,335431,147686,,173625,111409,,98700,,90088,116753,137777,306732,,578543,142510,,207929,114313,,90502,,160355,138940,150453,311741,,608097,164871,,216099,154380,,99426,,170859,151899,167914,313309,,554874,134810,,186235,133613,,97851,,124056,127123,119205,261267,,478242,134922,,189982,130140,,92708,,137582,112377,104475,285958,,502386,138647,,186829,117459,,76155,,124901,110731,132557,234692,,365210,151658,,161479,107584,,74339,,96059,109060,109845,236485,,472579,133485,,165150,120823,,66025,,134836,118202,84191,230861,,489311,141978,,153853,159980,,76007,,124642,146004,74015,217200,,403948,128094,,162552,116502,,72427,,117205,154497,74900,198748,,383067,109485,,161530,122760,,67375,,103567,158634,78918,199996,,392826,105304,,146369,113267,,64469,,111563,114050
"Southern Virginia University",133572,256246,45124,565398,122271,,220644,98574,,155008,,220191,107916,130791,301506,78870,596877,96718,,316965,83159,,156710,,227462,124615,179325,290983,,627074,125648,,206136,92391,,143580,,239551,126110,195919,259763,,682624,113417,,195823,91047,,146306,,205630,104178,139985,258503,,631687,,,158736,101085,,104149,169732,187983,101086,130936,235897,,501847,,,200540,88529,,91487,,69865,72226,119163,224469,,368762,,,172155,62535,,73915,,47153,30074,72636,114959,,315539,,,146191,39621,,43619,,41295,28218,66652,112223,,276052,,,91293,39449,,46899,,41864,23039,65012,133595,,294398,14292,,97954,45921,,47313,,37334,39409,64471,134086,,281105,,,85103,29439,,36163,,27927,26402,42875,112579,,305860,11296,,73419,24405,,31912,34492,38948,24628
